S&P/ASX 200 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
PLS,Pilbara Min Limited,Materials,"555,926,000",0.03,,,
PME,Pro Medicus Limited,Health Care,"2,095,570,000",0.11,,,
PMV,Premier Investments,Consumer Discretionary,"2,671,880,000",0.14,,,
PNI,Pinnacle Investment,Financials,"967,902,000",0.05,,,
PNV,Polynovo Limited,Health Care,"1,513,890,000",0.08,,,
PPT,Perpetual Limited,Financials,"1,799,330,000",0.1,,,
PRN,Perenti Global Limited,Materials,"927,959,000",0.05,,,
PTM,Platinum Asset,Financials,"2,387,780,000",0.13,,,
QAN,Qantas Airways,Industrials,"8,244,090,000",0.44,,,
QBE,QBE Insurance Group,Financials,"17,740,400,000",0.95,,,
QUB,QUBE Holdings Limited,Industrials,"4,747,440,000",0.25,,,
REA,REA Group,,"12,950,200,000",0.69,,,
RHC,Ramsay Health Care,Health Care,"13,743,500,000",0.73,,,
RIO,RIO Tinto Limited,Materials,"32,396,000,000",1.73,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"9,528,130,000",0.51,,,
RRL,Regis Resources,Materials,"2,047,970,000",0.11,,,
RSG,Resolute Mining,Materials,"1,056,600,000",0.06,,,
RWC,Reliance Worldwide,Industrials,"2,670,520,000",0.14,,,
S32,SOUTH32 Limited,Materials,"10,877,400,000",0.58,,,
SAR,Saracen Mineral,Materials,"4,157,900,000",0.22,,,
SBM,ST Barbara Limited,Materials,"1,643,030,000",0.09,,,
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,"18,126,100,000",0.97,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,835,740,000",0.15,,,
SDF,Steadfast Group Limited,Financials,"3,237,020,000",0.17,,,
SEK,Seek Limited,Industrials,"7,280,650,000",0.39,,,
SFR,Sandfire Resources,Materials,"758,403,000",0.04,,,
SGM,Sims Limited,Materials,"1,942,100,000",0.1,,,
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,"11,230,300,000",0.6,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,348,230,000",0.18,,,
SHL,Sonic Healthcare,Health Care,"13,681,600,000",0.73,,,
SIQ,Smartgrp Corporation,Industrials,"841,250,000",0.04,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,034,950,000",0.11,,,
